id,name,cuisine,price_per_person,rating,distance_km,location,opening_hours,tags,best_for,menu_highlights,review_summary,pros,cons,source
28,奶茶实验室,饮品,22,4.4,0.2,学校北门,11:00-23:00,"奶茶,便宜,甜品,自习","下午茶,自习,朋友聊天","珍珠奶茶,水果茶,鸡蛋仔","学生常去的饮品店，离学校近，营业到晚上。","便宜;离学校近;营业晚","不能当正餐",mock_review
29,希腊小岛,地中海菜,62,4.5,1.8,中关村,11:30-22:00,"地中海菜,健康,朋友聚餐","健康晚餐,朋友聚餐","希腊沙拉,烤鸡肉卷,穆萨卡","蔬菜和烤肉搭配丰富，适合想吃健康晚餐的人。","健康选择多;服务不错","距离中等",mock_review
30,家庭越粉,越南菜,48,4.6,1.8,学院路,10:30-21:30,"越南菜,亚洲菜,不辣,朋友聚餐","家庭晚餐,朋友聚餐,清淡餐","牛肉河粉,檬粉,春卷","大桌较多，汤粉清淡，适合多人不吃辣的需求。","不辣;适合多人;清淡","装修普通",mock_review
31,便当研究社,日料,38,4.3,0.8,学校南门,10:00-19:30,"便当,日料,快速,午餐","工作午餐,快速午餐","鸡肉便当,三文鱼便当,味增汤","便当出餐稳定，适合工作日快速午餐。","快速;均衡;离学校近","晚上营业时间短",mock_review
32,橡木酒馆,酒吧,138,4.5,2.4,三里屯,17:00-00:00,"酒馆,约会,安静,甜品","约会,饭后小酌","芝士拼盘,红酒,巧克力蛋糕","适合饭后聊天，环境安静，酒水选择不错。","安静;适合约会;酒水好","不适合正餐",mock_review
33,咖喱铺子,印度菜,35,4.1,0.9,学校南门,11:00-21:00,"印度菜,便宜,辣,外带","学生餐,快速晚餐","鸡肉咖喱,蔬菜咖喱,印度飞饼","咖喱味道浓，价格便宜，适合外带。","便宜;分量足;出餐快","偏辣;座位少",mock_review
34,鲜作波奇饭,轻食,46,4.5,0.6,学校东门,10:30-21:00,"轻食,健康,快速,海鲜,自选","快速午餐,健康餐","三文鱼波奇饭,金枪鱼波奇饭,豆腐波奇饭","自选配料丰富，出餐快，适合健康午餐。","健康;快速;可自选","生食不一定适合所有人",mock_review
35,书店咖啡,咖啡,39,4.8,0.9,校园西侧,08:00-19:00,"安静,咖啡,自习,甜品","自习办公,独自学习,咖啡聊天","美式,芝士蛋糕,贝果","连着小书店，非常安静，适合长时间学习。","非常安静;适合学习","晚餐选择少",mock_review
36,金龙酒家,粤菜,88,4.4,2.0,中关村,11:30-22:30,"粤菜,中餐,大桌,朋友聚餐","朋友聚餐,家庭聚餐","烧鹅,虾饺,叉烧,广式点心","大桌多，菜品选择广，适合多人聚餐。","大桌多;选择多","周末很忙;部分菜偏油",mock_review
37,沙拉快线,轻食,29,4.2,0.5,学校东门,09:30-20:00,"便宜,轻食,健康,快速,素食","快速午餐,健身餐","凯撒沙拉,蛋白盒子,水果杯","价格低，出餐很快，适合健康快速午餐。","便宜;健康;快速","口味简单",mock_review
38,暖咖喱泰餐,泰餐,42,4.3,0.8,学校南门,11:00-21:30,"泰餐,亚洲菜,休闲,可调辣","休闲晚餐,学生餐","红咖喱,泰式炒河粉,冬阴功汤","离学校近，价格适中，辣度可以调整。","离学校近;性价比不错","辣度有时不稳定",mock_review
39,都市小馆,家常菜,40,4.1,0.7,学校北门,07:00-22:00,"家常菜,平价,朋友,早午餐","早餐,朋友简餐,快速晚餐","番茄炒蛋,盖饭,小炒肉","菜单选择多，价格亲民，适合日常随便吃。","选择多;平价;离学校近","环境普通",mock_review
40,藏红花餐吧,中东菜,98,4.6,2.6,三里屯,17:00-23:00,"中东菜,约会,朋友聚餐,氛围","约会,朋友聚餐","烤羊排,梅泽拼盘,玫瑰甜品","灯光和装修有氛围，适合约会或小型聚餐。","氛围好;适合约会","价格中高;距离稍远",mock_review
