id,name,cuisine,price_per_person,rating,distance_km,location,opening_hours,tags,best_for,menu_highlights,review_summary,pros,cons,source
11,潮发潮汕牛肉店(大运天地店),潮汕牛肉火锅,102,4.9,0.26,大运天地购物中心中区2栋2层SL259号,11:00-24:00,"潮汕牛肉火锅,火锅热门榜,大桌,宝宝椅,可带宠物,付费停车","朋友聚餐,夜宵,火锅,多人聚餐","牛肉火锅,吊龙肉,胸口油",大运火锅热门榜第1名，食材评分4.9，营业到24点，适合想吃潮汕牛肉火锅的朋友聚餐。,评分高;食材好;营业晚;离地铁近,人均偏高;无明确包厢信息,dianping_manual
12,八合里潮汕鲜牛肉火锅(龙岗星河CoCo Park店),潮汕牛肉火锅,88,4.8,0.34,星河时代COCOPark购物公园4楼,11:00-22:00,"潮汕牛肉火锅,火锅人气榜,大桌,宝宝椅,付费停车,优惠券","朋友聚餐,火锅,家庭聚餐","招牌肥牛,精选嫩肉,熟牛肉丸",大运火锅打卡人气榜第1名，价格比同类牛肉火锅更友好，适合多人聚餐。,评分高;人均适中;有大桌;有优惠券,无包厢;商场饭点可能等位,dianping_manual
13,深圳市龙岗区湖畔咖啡,咖啡,31,4.3,0.33,龙飞大道267号,09:30-19:00,"咖啡,热门榜,大桌,无障碍设施,儿童游乐区","自习办公,咖啡聊天,下午茶","提拉米苏,桂花拿铁,西柚气泡美式",大运咖啡热门榜第5名，环境评分较好，价格低于多数咖啡店。,价格友好;环境较好;有大桌,营业到19点;不适合正餐,dianping_manual
14,西塔老太太泥炉烤肉(龙岗星河COCOPARK店),融合烤肉,105,4.8,0.49,星河COCOPark-L2MC,11:00-16:00;17:00-22:00,"融合烤肉,深圳烤肉人气榜,宝宝椅,免费WiFi,付费停车","朋友聚餐,烤肉,约会聚餐","雪花肋条肉,秘制肥牛,秘制瘦牛",深圳烤肉打卡人气榜第1名，评价量高，适合想吃烤肉的朋友聚餐。,人气高;评分高;适合聚餐,人均偏高;无包厢;非全天营业,dianping_manual
15,皖厨·中国徽菜(龙岗大运天地店),徽菜,100,4.7,0.67,大运天地购物中心北区10栋1层NL112号,11:00-14:00;17:00-21:00,"徽菜,好评榜,包厢,湖景餐厅,别墅餐厅,宝宝椅","家庭聚餐,商务简餐,朋友聚餐","徽菜招牌菜,湖景聚餐菜品",大运美食好评榜第7名，有包厢和湖景环境，适合正式一点的聚餐。,有包厢;环境好;适合正式聚餐,人均偏高;非全天营业,dianping_manual
16,费大厨辣椒炒肉(大运天地店),湘菜,69,4.8,0.11,大运天地南区LG层118号,11:00-21:00,"湘菜,辣,口味榜,宝宝椅,付费停车","朋友聚餐,重口味晚餐,快速正餐","费大厨辣椒炒肉,皮蛋青椒擂茄子,香酥大鲫鱼",大运湘菜口味榜第1名，离地铁很近，适合想吃重口味湘菜的人。,评分高;口味强;离地铁近;价格适中,偏辣;无包厢,dianping_manual
17,脆鲜生·脆鲩鱼火锅(大运天地店),鱼火锅,119,4.7,0.58,大运天地购物中心北区天鹅湖边6栋NL10,11:00-21:30,"鱼火锅,热门榜,湖景餐厅,宝宝椅,可带宠物,付费停车","朋友聚餐,家庭聚餐,火锅","泉水脆肉鲩鱼片,泉水脆肉鲩鱼腩,生炸妙龄乳鸽",龙岗区鱼火锅热门榜第1名，食材评分4.8，适合火锅和鱼类聚餐。,食材评分高;湖景餐厅;适合聚餐,人均偏高;无明确包厢信息,dianping_manual
18,山来·山菌汤·云南菜(大运天地店),云南菜,83,4.2,0.37,大运天地购物中心中区5栋,11:00-22:00,"云南菜,滇菜,菌汤,大桌,宝宝椅,付费停车","朋友聚餐,清淡晚餐,菌汤","木子姜酸汤鱼,薄荷火膘牛腩煲,菌菇鸡汤",龙岗区云南菜热门榜第3名，适合想吃菌汤和云南菜的聚餐。,有大桌;价格适中;菜品有特色,评分相对一般;无包厢,dianping_manual
19,芸山季·云南山珍菌火锅(龙岗星河COCO Park店),云南火锅,103,4.8,0.24,星河时代广场COCOPark 3楼L3C-002,11:00-22:00,"云南火锅,菌菇火锅,火锅好评榜,大桌,可预订,宝宝椅","朋友聚餐,家庭聚餐,火锅","土鸡菌汤锅,当季野生菌拼盘,宣威火腿牛肝菌焖饭",大运火锅好评榜第3名，菌菇火锅特色明显，离地铁近。,评分高;可预订;离地铁近;适合聚餐,人均偏高,dianping_manual
20,吴庄(龙岗大运天地店),浙菜,68,4.4,0.07,大运天地购物中心南区1栋SL201,11:00-14:00;16:30-21:00,"浙菜,复古风格,宝宝椅,无障碍设施","朋友聚餐,快速正餐,江浙菜","面包诱惑,北京烤鸭,南宋叫花鸡",位于大运天地南区，离地铁D口约70米，适合想吃浙菜的近距离用餐。,离地铁很近;价格适中;风格复古,无包厢;非全天营业,dianping_manual
21,黔山QIANSHAAN·贵州菜(大运天地店),贵州菜,101,4.3,0.13,大运天地南区3栋2楼SL208,11:00-14:30;17:00-24:00,"贵州菜,黔菜,包厢,可带宠物,宝宝椅,付费停车,工作日午市代金券,优惠套餐","朋友聚餐,重口味晚餐,工作日午餐","凯里酸汤鱼,老贵阳烤鸡,老贵阳原汤牛肉粉",龙岗区贵州菜热门榜第1名，有包厢，工作日午市有88抵100代金券，适合工作日学生聚餐。,有包厢;离地铁近;工作日午市优惠;营业到24点,人均偏高;口味可能偏酸辣,dianping_manual
22,中海凯骊酒店-骊轩中餐厅,其他中餐,105,4.7,0.63,大运路168号中海凯骊酒店2-3楼,08:30-14:30;17:30-21:30,"中餐,酒店餐厅,包厢,大桌,免费停车","商务宴请,家庭聚餐,早茶","豉汁蒸凤爪,冬笋虾饺皇,沙爹金钱肚",酒店中餐厅，评分稳定，有包厢和大桌，适合正式聚餐。,有包厢;有大桌;免费停车;环境稳定,人均偏高;非全天营业,dianping_manual
23,潮巷·潮州粿条·潮汕风味专门店(龙岗大运天地店),潮汕菜,41,3.6,0.32,大运天地购物中心中区5栋SL160B,10:00-22:00,"潮汕菜,粿条,平价,可带宠物,湖景餐厅","快速午餐,学生餐,潮汕简餐","极鲜牛肉牛丸粿条,潮州传统大鼎鲜蚝烙,普宁炸豆腐",价格较低，适合想吃潮州粿条的快速简餐。,人均低;营业时间长;离地铁近,评分较低;服务评分一般,dianping_manual
24,文通冰室(大运天地店),茶餐厅,46,4.5,0.21,大运天地购物中心南区SL212号,11:00-21:00,"茶餐厅,港式,下午茶套餐,团购,平价,大桌,可带宠物,宝宝椅","快速午餐,下午茶,学生餐,朋友简餐","黯然销魂饭,星厨葱油鸡腿扒饭,暴富漏奶华",龙岗区茶餐厅销量榜第1名，有9.9元和19.9元下午茶团购套餐，适合学生工作日低预算用餐。,价格友好;下午茶团购便宜;有大桌;离地铁近,正餐高峰可能排队,dianping_manual
25,MUJINY木槿钰·创意韩餐(大运天地店),韩式料理,110,4.2,0.18,大运天地北区5栋NL104,11:00-22:00,"韩式料理,创意韩餐,午市单人餐套餐,大桌,可带宠物,宝宝椅","朋友聚餐,韩餐,工作日午餐","百香果酸汤牛肉火锅,牛油果土豆泥沙拉,炭烤火山雪花牛肋条",龙岗区韩式料理热门榜第1名，有午市单人餐套餐，适合工作日想吃韩餐的人。,有大桌;午市套餐;环境评分较高,人均偏高;口味评分一般,dianping_manual
26,深圳信息职业技术大学-B饭堂,小吃快餐,13,4.1,1.0,龙飞大道2188号,07:00-09:00;11:00-13:00;17:00-22:00,"饭堂,小吃快餐,学生餐,低价,校园周边","学生餐,快速午餐,低预算","肠粉,五谷玉米鱼粉,麻辣香锅",人均极低，适合学生低预算快速吃饭。,非常便宜;适合学生;餐品选择多,环境和服务一般;营业分时段,dianping_manual
27,吴庄(龙岗COCO Park店),浙菜,66,4.5,0.34,龙岗星河COCOPark3层,11:00-14:00;16:30-21:00,"浙菜,江浙菜,大桌,无障碍设施,付费停车","朋友聚餐,家庭聚餐,江浙菜","北京烤鸭（三吃）,石锅豆腐,杭儿糖里脊",龙岗区江浙菜口味榜第4名，价格适中，有大桌。,价格适中;有大桌;商场方便,非全天营业;无明确包厢信息,dianping_manual
28,Potato Corner(深圳大运天地店),西式快餐,34,4.3,0.11,大运天地SL203号商铺,10:00-22:00,"西式快餐,薯条,小吃,低价,可带宠物","学生小吃,快速午餐,下午茶","酸奶洋葱味薯条,卷卷薯条,招牌薯条拼卷卷薯",大运小吃快餐热门榜第9名，价格较低，适合快速小吃或下午茶。,价格低;离地铁近;营业时间长,不适合正式正餐;无包厢,dianping_manual
29,同仁四季椰子鸡(龙岗大运天地店),椰子鸡火锅,100,4.4,0.24,大运天地中区2层SL260,10:00-22:00,"椰子鸡火锅,火锅,可预订,宝宝椅,付费停车","朋友聚餐,家庭聚餐,清淡火锅","竹笙椰子鸡,一级腊味煲仔饭,原味椰子鸡",大运火锅回头客榜第6名，椰子鸡口味相对清淡，适合家庭聚餐。,可预订;离地铁近;口味较清淡,人均偏高;无包厢,dianping_manual
30,GE BAKE·SHORE(大运天地店),面包蛋糕,67,4.5,0.35,大运天地购物中心中区7栋SL155,08:00-22:00,"面包蛋糕,甜品,咖啡,WiFi,宝宝椅,付费停车","下午茶,自习办公,甜品","舒芙蕾松饼,芝士肠仔,水果茶",龙岗区面包蛋糕甜品热门榜第1名，有Wi-Fi，适合下午茶和轻办公。,甜品人气高;有WiFi;营业时间长,人均略高;不适合正式正餐,dianping_manual
31,blend(大运天地店),咖啡,60,4.5,0.21,大运天地购物中心中区1栋SL144A号,08:00-22:00,"咖啡,热门榜,可带宠物,宝宝椅,节目表演,付费停车","自习办公,咖啡聊天,轻食早餐","香辣牛肉热烤三明治,鲜奶松软热香饼,英式早餐",龙岗区咖啡热门榜第1名，营业时间长，适合咖啡、早餐和轻办公。,咖啡热门;营业时间长;离地铁近,人均高于普通咖啡;可能偏热闹,dianping_manual
32,萨莉亚意式餐厅(爱联站天光城店),西式快餐,46,4.0,0.39,龙岗大道天光城2楼,10:00-22:00,"西式快餐,意式餐厅,平价,大桌,宝宝椅,付费停车","学生餐,朋友简餐,快速午餐","榴莲小匹萨,小食拼盘,金枪鱼沙拉",价格友好，适合低预算想吃西式快餐或意式简餐的学生。,价格低;有大桌;营业时间长,评分一般;服务评分略低,dianping_manual
33,PINTXOS品巧思西班牙小馆(大运天地店),西餐,100,4.6,0.57,大运天地北区5栋NL105,11:00-22:30,"西餐,西班牙菜,包厢,大桌,宝宝椅,付费停车","约会,朋友聚餐,氛围餐厅","瓦伦西亚西班牙海鲜饭,橄榄油爆虾,香煎小蘑菇",大运西餐热门榜第1名，环境评分4.8，有包厢，适合约会或小型聚餐。,环境好;有包厢;适合约会,人均偏高,dianping_manual
34,大阪烧肉BAKA一代·自助放题(龙岗店),烤肉自助,136,4.6,0.62,颐安都会中央三期s13-15商铺,12:00-23:00,"烤肉自助,包厢,宝宝椅,付费停车","朋友聚餐,自助餐,烤肉","土豆沙拉,厚切牛舌,菠萝牛肋条",龙岗区烤肉自助热门榜第1名，有包厢，适合预算较高的烤肉自助聚餐。,有包厢;营业到23点;适合聚餐,人均较高,dianping_manual
35,怂重庆火锅厂(龙岗大运天地店),重庆火锅,102,4.8,0.15,大运天地中区2栋2楼SL263,11:00-23:00,"重庆火锅,辣,工作日双人套餐,可预订,宝宝椅,付费停车","朋友聚餐,重口味火锅,工作日聚餐","鲜·头牌黄牛肉,虎虾滑,香卤耙耙大鸡爪",龙岗区重庆火锅销量榜第1名，食材评分4.9，有工作日双人套餐，适合重口味火锅聚餐。,评分高;食材好;工作日套餐;离地铁近,偏辣;无包厢,dianping_manual
36,木屋烧烤(大运店),烤串,78,4.6,0.41,黄阁路阳光天健城3栋80-82号商铺,17:00-次日02:00,"烤串,烧烤,夜宵,可带宠物,宝宝椅,付费停车","夜宵,朋友聚餐,烧烤","金牌草原羔羊肉串,木屋烤生蚝,蒜蓉烤茄子",龙岗中心城区烧烤烤串热门榜第3名，适合夜宵和朋友聚餐。,适合夜宵;评分较高;价格适中,下午前不营业;可能偏吵,dianping_manual
37,潇湘四伙记(大运店),湘菜,71,4.5,0.14,启迪协信科技园8栋1层130号,11:00-14:00;16:30-21:30,"湘菜,包厢,大桌,付费停车,辣","朋友聚餐,重口味晚餐","小炒黄牛肉,辣椒炒肉,泉水煮活鱼",大运湘菜回头客榜第2名，有包厢和大桌，适合重口味聚餐。,有包厢;有大桌;价格适中,偏辣;非全天营业,dianping_manual
38,鑫运齐齐哈尔烤肉(大运店),融合烤肉,79,4.7,0.25,日丽路8号星龙园1栋111商铺,17:00-22:00,"融合烤肉,大桌,可带宠物,宝宝椅,付费停车","朋友聚餐,烤肉,晚餐","齐市家庭拌肉,安格斯雪花肥牛,薄切牛胸口油",大运烤肉口味榜第2名，评分稳定，适合晚上烤肉聚餐。,评分高;价格适中;有大桌,只晚间营业,dianping_manual
39,安又胖韩国烤肉(大运天地店),韩式烤肉,110,4.6,0.52,大运天地北区102,11:00-22:00,"韩式烤肉,韩餐,节目表演,江景餐厅,宝宝椅,付费停车","朋友聚餐,韩式烤肉,氛围聚餐","厚切黑猪五花,秘制吾桑格,雪花牛肩肉",龙岗区韩式烤肉打卡人气榜第1名，环境评分较好，适合韩式烤肉聚餐。,人气高;环境好;适合聚餐,人均偏高;无包厢信息,dianping_manual
40,Thy yeah·泰嘢西泰料理(大运天地店),泰国菜,80,4.0,0.55,大运天地北区4栋1楼NL103号,11:00-21:00,"泰国菜,东南亚菜,工作日双人套餐,大桌,可带宠物,宝宝椅","朋友聚餐,东南亚菜,工作日聚餐","马拉盏炒通菜,冬阴功海鲜汤,泰式烧猪颈肉",龙岗区东南亚菜热门榜第1名，有工作日双人套餐，适合想尝试泰国菜的朋友聚餐。,有工作日套餐;价格适中;有大桌,评分一般;口味可能偏重,dianping_manual
41,绿茶餐厅(龙岗星河COCO park店),浙菜,60,4.7,0.34,星河时代购物公园401-L4,10:00-22:00,"浙菜,周二套餐,露台,宝宝椅,付费停车","朋友聚餐,学生餐,工作日套餐","面包诱惑,绿茶烤鸡,粉丝裹虾",评分较高，价格适中，有周二套餐，适合学生工作日聚餐。,评分高;价格适中;周二套餐;有露台,无包厢信息,dianping_manual
42,湘里帮厨(大运店),湘菜,66,4.5,1.1,犁嘴路与红棉路交汇处东南侧,11:00-14:00;17:00-21:00,"湘菜,包厢,可带宠物,宝宝椅,辣","朋友聚餐,重口味晚餐","辣椒炒肉,山茶油炒牛肉,招牌剁椒鱼头",大运湘菜回头客榜第4名，有包厢，适合湘菜聚餐。,有包厢;价格适中,偏辣;距离地铁稍远;非全天营业,dianping_manual
43,很久以前羊肉串(大运天地店),烤串,89,4.9,0.36,大运天地北区5栋二层NL208号,11:00-14:30;16:30-次日02:00,"烤串,烧烤,夜宵,口味榜,宝宝椅","夜宵,朋友聚餐,烧烤","呼伦贝尔羊肉串,鲜炼乳冰棍,羊肉串",深圳烧烤烤串口味榜第1名，评分4.9，营业到凌晨，适合夜宵烧烤。,评分极高;营业到凌晨;适合夜宵,无包厢;人均中高,dianping_manual
44,悦得闲广式点心茶楼(天光店),粤式茶点,77,4.6,0.28,龙岗大道1099号天光城2栋L3层019,08:00-21:30,"粤式茶点,早茶,粤菜,包厢,大桌,付费停车","早茶,朋友聚餐,家庭聚餐","金沙海虾红米肠,百合酱蒸凤爪,金牌乳鸽",大运粤菜销量榜第3名，有包厢和大桌，适合早茶和家庭聚餐。,有包厢;有大桌;营业时间长,距离港中深稍远于大运天地,dianping_manual
45,原石牛扒·欢聚·氛围感(大运天地店),西餐,110,4.7,0.21,大运天地购物中心中区2栋一层173,11:00-21:30,"西餐,牛扒,约会,氛围感,湖景餐厅,可带宠物,宝宝椅","约会,朋友聚餐,氛围餐厅","原石经典牛扒,香草烤战斧牛排,和牛松露炒饭",大运西餐好评榜第1名，环境评分4.8，适合约会和氛围感聚餐。,环境好;适合约会;离地铁近,人均偏高;无包厢信息,dianping_manual
46,客家肴·客家菜(粤通大厦店),客家菜,59,3.7,0.64,龙岗大道横岗段7005号101,10:00开始营业,"客家菜,横岗商圈,客家菜热门榜第10名,有包厢,有大桌,免费停车,近地铁","朋友聚餐,家庭聚餐,多人聚餐",暂无公开推荐菜,横岗商圈客家菜热门榜第10名，口味3.9、环境3.9、服务3.8，适合多人客家菜聚餐。,价格适中;有包厢;有大桌;免费停车;距坳背站640米,综合评分3.7;评价数量较少;推荐菜信息暂缺,dianping_manual
47,聚客园餐厅(黄阁翠苑店),客家菜,73,4.4,0.58,黄阁路363-4号,09:00开始营业,"客家菜,仁恒梦中心,近地铁","朋友聚餐,家庭聚餐,日常用餐",暂无公开推荐菜,仁恒梦中心附近客家菜餐厅，综合评分4.4，口味、环境和服务均为4.4。,评分较高;价格适中;距黄阁坑站580米,评价数量较少;店铺服务和推荐菜信息暂缺,dianping_manual
48,顺心顺意小食院(坳背店),甜品,39,4.3,0.65,园山街道龙岗大道7031号金公馆1楼102室,11:00-21:00,"甜品,横岗商圈,热门榜第1名,免费停车,露台,小清新,花园餐厅,代金券,双人下午茶,团购","下午茶,约会,朋友小聚,独自用餐","公主的下午茶双人餐,意粉冻柠茶单人餐",横岗商圈面包蛋糕甜品热门榜第1名，环境较好，适合下午茶和轻松小聚。,价格友好;有露台;免费停车;下午茶套餐,距地铁约650米,dianping_manual_20260615
49,百草膳香鸡煲(坳背店),本地鸡窝火锅,64,4.1,0.21,保安社区坳背路105号102,16:00-次日02:00,"鸡煲,火锅,横岗商圈,包厢,免费停车,宝宝椅,可预订,代金券,团购,夜宵","朋友聚餐,家庭聚餐,夜宵,多人聚餐","切片脆皮鸡煲双人餐,啫啫鸡煲双人餐",晚间营业至凌晨，提供鸡煲双人套餐，适合聚餐和夜宵。,有包厢;免费停车;营业到凌晨;双人套餐折扣大,下午不营业;评分中等,dianping_manual_20260615
50,湘西部落(横岗店),湘菜,69,4.4,1.2,银荷路华丰智谷园山高科技产业园D座一楼105,11:30-14:00;16:30-21:00,"湘菜,横岗商圈,环境榜第5名,包厢,大桌,免费停车,辣","朋友聚餐,家庭聚餐,多人聚餐",湘西风味菜,横岗商圈湘菜环境榜第5名，适合喜欢湘菜的多人聚餐。,有包厢;有大桌;免费停车;评分较高,距地铁约1.2公里;营业分时段,dianping_manual_20260615
51,百果园(乐城店),水果店,42,3.5,0.36,龙岗大道荷康花园1栋S05,08:00-23:30,"水果,横岗商圈,付费停车,营业时间长","水果购买,快速消费,独自用餐",时令水果,乐城附近水果店，营业时间长，适合购买水果。,营业时间长;距地铁较近,评分一般;不属于正餐餐厅,dianping_manual_20260615
52,肯德基(乐城店),西式快餐,29,3.8,0.15,园山街道乐城一期8号楼坳牌路8-28号,07:00-22:00,"西式快餐,横岗商圈,无包厢,团购,单人餐,早餐","快速午餐,独自用餐,学生低预算,早餐","元气随心配,开工吃堡堡单人餐",距荷坳站较近，价格低，适合快速用餐和低预算单人餐。,价格低;离地铁近;营业时间长;有团购,评分一般;无包厢,dianping_manual_20260615
53,尊宝比萨(荷坳花半里店),比萨,24,4.3,0.33,园山街道荷坳社区长江埔路74号花半里雅筑1栋,10:00-22:00,"比萨,横岗商圈,宝宝椅,可预订,无包厢,团购,低预算","独自用餐,朋友小聚,学生低预算,快速午餐","爆款小吃双份,苏丹王榴莲比萨套餐",价格较低，有比萨与小吃团购，适合学生和轻松小聚。,价格低;有团购;可预订;距地铁较近,无包厢,dianping_manual_20260615
54,川味园私房菜(坳二路店),川菜,39,3.6,0.25,坳二路57号,10:30-次日02:30,"川菜,横岗商圈,大桌,付费停车,宝宝椅,可带宠物,辣,代金券,团购,夜宵","朋友聚餐,多人聚餐,夜宵","甲鱼鸡3-4人餐,重庆烤鱼双人餐",低价川菜馆，营业至凌晨并提供多人套餐，适合重口味聚餐。,价格低;有大桌;营业到凌晨;团购选择多,评分一般;环境评分较低,dianping_manual_20260615
55,海楠里·椰子鸡火锅(龙岗仁恒梦中心店),椰子鸡火锅,101,4.8,0.49,恒信二路深圳仁恒梦中心L1层W05号商铺,11:00-14:00;17:00-21:00,"椰子鸡,火锅,仁恒梦中心,人气榜第1名,包厢,大桌,付费停车,代金券,团购","朋友聚餐,家庭聚餐,多人聚餐","招牌椰子鸡双人餐,超值双人套餐",仁恒梦中心火锅打卡人气榜第1名，评分高，适合家庭和朋友聚餐。,评分高;有包厢;有大桌;食材评分高,人均偏高;营业分时段,dianping_manual_20260615
56,八合里潮汕鲜牛肉火锅(深圳仁恒梦中心店),潮汕牛肉火锅,88,4.8,0.51,愉龙路仁恒梦中心外街L2层W09,11:00-22:00,"潮汕牛肉火锅,仁恒梦中心,热门榜第1名,包厢,大桌,宝宝椅,付费停车,代金券,团购","朋友聚餐,家庭聚餐,多人聚餐","全日双人餐,鲜切牛肉四人餐",仁恒梦中心火锅热门榜第1名，价格适中，适合多人牛肉火锅聚餐。,评分高;有包厢;食材评分高;双人套餐,商场饭点可能等位,dianping_manual_20260615
57,探鱼·鲜青椒爽麻烤鱼(仁恒梦中心店),烤鱼,85,4.4,0.43,愉龙路仁恒梦中心L2层外围3号电梯旁,11:00-24:00,"烤鱼,仁恒梦中心,人气榜第1名,大桌,宝宝椅,付费停车,麻辣,代金券,团购","朋友聚餐,多人聚餐,晚餐,夜宵","鲜青椒爽麻烤鱼,双人套餐,3-4人套餐",龙岗区烤鱼打卡人气榜第1名，营业到午夜，适合朋友聚餐。,有大桌;营业晚;食材评分高,口味偏麻辣;套餐折扣较小,dianping_manual_20260615
58,一沙一城·岩烤牛扒(深圳首店),牛排,111,4.6,0.43,恒爱二路仁恒梦中心LG层LG33号,11:00-22:00,"牛排,西餐,仁恒梦中心,热门榜第1名,免费停车,宝宝椅,可带宠物,小清新,代金券,双人餐","约会,朋友聚餐,氛围餐厅","双人牛扒套餐,浪漫甄选双人套餐",仁恒梦中心西餐热门榜第1名，环境和食材评分较高，适合约会。,环境好;免费停车;可带宠物;代金券折扣大,人均偏高,dianping_manual_20260615
59,肉祭烧肉一番(仁恒梦中心店),融合烤肉,120,4.8,0.41,愉龙路仁恒梦中心L3层315商铺,11:00-14:00;17:00-21:30,"融合烤肉,仁恒梦中心,口味榜第1名,大桌,宝宝椅,付费停车,双人餐","朋友聚餐,约会,多人聚餐","精选2人餐,品质和牛2人餐",仁恒梦中心烤肉口味榜第1名，综合评分高，适合聚餐和约会。,评分高;有大桌;环境服务好,人均较高;营业分时段,dianping_manual_20260615
60,渔惑·中山脆肉鲩火锅(仁恒梦店),鱼火锅,103,4.7,0.46,龙城街道梦创广场梦中心L2-11,11:00-21:30,"鱼火锅,仁恒梦中心,回头客榜第2名,宝宝椅,儿童游乐区,可预订,付费停车,代金券,团购","家庭聚餐,朋友聚餐,亲子用餐","招牌2-3人臻享套餐,老盐黄皮柠檬茶",仁恒梦中心火锅回头客榜第2名，设儿童游乐区，适合家庭用餐。,评分高;有儿童游乐区;可预订;食材评分高,人均偏高,dianping_manual_20260615
